Tuke,UCA02U_MID,CA02U-MID,A0200010U,Sugoi,CCN,272,33.5,26.5,23,20,18,13.25,12.5,6505004000,269.5,30.5,24,19.5,15,13.25,12.25,10.75,6505006090,4.97
Cycling Cap,UCA06U_BA_AXS,CA06U-BA-AXS,A0200010U,Sugoi,CCN,271,33,26,22.5,19.5,17.5,13,12.25,6505004000,269,30,23.75,19,14.75,12.75,11.75,10.25,6505006090,4.45
Sugoi Low Sub Sock,UCA82U_SG.LW_SCK,CA82U-SGLW-SCK,A82W0010U,Sugoi,CCN, null , null , null ,20,18.5,17.5,15,12.75,6115960010, null , null , null ,16.5,15,13.5,11.75,11,6115969020,5.13
Sugoi Mid Sub Sock,UCA82U_SG.MD_SCK,CA82U-SGMD-SCK,A82M0010U,Sugoi,CCN, null , null , null ,20,18.5,17.5,15,12.75,6115960010, null , null , null ,16.5,15,13.5,11.75,11,6115969020,5.13
Sugoi High Sub Sock,UCA82U_SG.HI_SCK,CA82U-SGHI-SCK,A82H0010U,Sugoi,CCN, null , null , null ,20,18.5,17.5,15,12.75,6115960010, null , null , null ,16.5,15,13.5,11.75,11,6115969020,5.13
Sombrio Low Sub Sock,UCA82U_SB.LW_SCK,CA82U-SBLW-SCK,A82W0010U,Sombrio,CCN, null , null , null ,20,18.5,17.5,15,12.75,6115960010, null , null , null ,16.5,15,13.5,11.75,11,6115969020,5.13
Sombrio Mid Sub Sock,UCA82U_SB.MD_SCK,CA82U-SBMD-SCK,A82M0010U,Sombrio,CCN, null , null , null ,20,18.5,17.5,15,12.75,6115960010, null , null , null ,16.5,15,13.5,11.75,11,6115969020,5.13
Sombrio High Sub Sock,UCA82U_SB.HI_SCK,CA82U-SBHI-SCK,A82H0010U,Sombrio,CCN, null , null , null ,20,18.5,17.5,15,12.75,6115960010, null , null , null ,16.5,15,13.5,11.75,11,6115969020,5.13
Wash Bag,UCA91U_WBM,CA91U-WBM,A91UWBAG,Sugoi,CCN, null , null , null , null , null , null , null , null ,6307909990, null , null , null , null , null , null , null , null ,6307909889,1.26
Women's Elite LS SpeedSuit,UCE03U_LS.NP.HF_M07,CE03U-LSNPHF-M07,E03LND12U,Sugoi,PNR, null ,381,298,250,225,192,185,178,6114300000, null ,306,239,192,166,154,149,143,6114303070,
